,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验,吸引条件
0,4399609,图像处理,北京,2018-04-28 13:39:10,28.0,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司,150-500人,西城区,博士,B轮,其他,116.357353,39.939211,全职,3-5年,"['股票期权', '高成长', '云服务', '高并发']"
1,2567485,图像处理与分析算法工程师,杭州,2018-04-27 09:54:51,19.0,35559,亲宝宝,杭州点望科技有限公司,150-500人,西湖区,硕士,B轮,"移动互联网,社交网络",120.097412,30.266811,全职,1-3年,"['技能培训', '节日礼物', '股票期权', '扁平管理']"
2,3419176,图像处理工程师,北京,2018-04-27 10:57:49,28.0,129,陌陌,北京陌陌科技有限公司,500-2000人,朝阳区,大专,上市公司,社交网络,115.99339,39.99426,全职,3-5年,"['岗位晋升', '帅哥多', '管理规范', '技能培训']"
3,3943432,【OpenCV/图像处理/图像算法工程师】,武汉,2018-04-18 11:29:39,14.0,277312,微晟,微晟（武汉）技术有限公司,15-50人,洪山区,本科,不需要融资,"移动互联网,硬件",114.412546,30.500298,全职,1-3年,"['年底双薪', '年终分红', '交通补助', '领导好']"
4,4160993,图像处理,上海,2018-04-25 09:16:01,21.0,150654,信号旗,信号旗智能科技（上海）有限公司,15-50人,浦东新区,硕士,A轮,数据服务,121.605683,31.178004,全职,3-5年,"['领导好', '股票期权', '弹性工作', '绩效奖金']"
5,4412127,图像处理,昆明,2018-04-12 15:44:29,7.0,300659,匠品科技,匠品科技（深圳）有限公司,15-50人,官渡区,本科,天使轮,"移动互联网,电子商务",102.725917,25.025756,全职,不限,"['""""']"
6,3979817,图像处理Leader,北京,2018-04-27 11:18:12,35.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.330747,39.9947,全职,3-5年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
7,3597682,图像处理工程师,北京,2018-04-27 11:15:42,19.0,28393,爱云校,北京修齐治平科技有限公司,500-2000人,朝阳区,本科,C轮,"教育,数据服务",116.481459,39.99646,全职,1-3年,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
8,4249164,图像处理工程师,北京,2018-04-26 10:16:34,21.0,21474,必要商城,珠海随变科技有限公司,50-150人,朝阳区,本科,不需要融资,电子商务,115.99339,39.99426,全职,3-5年,"['商业医疗保险', '带薪年假', '扁平管理', '下午茶']"
9,4036075,图像处理,北京,2018-04-20 22:37:50,14.0,284680,北京艳江科技,北京艳江科技发展有限公司,15-50人,昌平区,本科,天使轮,硬件,,,全职,1-3年,"['""""']"
10,3678626,图像处理工程师,北京,2018-04-25 15:16:28,35.0,329,网易,网易（杭州）有限公司,2000人以上,海淀区,硕士,上市公司,"电子商务,移动互联网",115.99339,39.99426,全职,3-5年,"['节日礼物', '技能培训', '免费班车', '带薪年假']"
11,2711007,图像处理工程师,青岛,2018-04-11 16:39:35,12.6,112945,青岛鼎信,青岛鼎信通讯股份有限公司,2000人以上,市南区,本科,上市公司,其他,120.415547,36.076209,全职,不限,"['年底双薪', '午餐补助', '通讯津贴', '定期体检']"
12,4462607,图像处理研究员,深圳,2018-04-28 11:01:39,25.2,40459,商汤科技,北京市商汤科技开发有限公司,500-2000人,南山区,本科,B轮,移动互联网,113.920038,22.494927,全职,1-3年,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']"
13,3267061,视觉/图像处理研究员,北京,2018-04-25 14:20:42,38.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,硕士,D轮及以上,"移动互联网,O2O",116.48864,40.007096,全职,5-10年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
14,4277644,图像处理开发工程师,北京,2018-04-28 11:08:08,21.0,4128,知乎,北京智者天下科技有限公司,500-2000人,海淀区,本科,D轮及以上,"移动互联网,社交网络",116.350094,40.007985,全职,1-3年,"['年底双薪', '股票期权', '带薪年假', '定期体检']"
15,3480331,图像处理研发工程师,广州,2018-04-27 11:15:42,17.0,28393,爱云校,北京修齐治平科技有限公司,500-2000人,天河区,硕士,C轮,"教育,数据服务",113.356269,23.134926,全职,1年以下,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
16,4423925,图像处理工程师,济南,2018-04-23 15:48:47,12.0,104298,北明软件,北明软件有限公司,2000人以上,高新区,本科,上市公司,"移动互联网,数据服务",117.141711,36.662479,全职,1-3年,"['年底双薪', '股票期权', '专项奖金', '定期体检']"
17,3979791,图像处理工程师,北京,2018-04-27 11:18:11,28.0,62831,明略数据,北京明略软件系统有限公司,150-500人,海淀区,硕士,C轮,数据服务,116.330747,39.9947,全职,1-3年,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']"
18,4225299,图像处理工程师,无锡,2018-04-08 08:21:04,17.0,331629,声亚医疗,无锡声亚医疗科技有限公司,15-50人,无锡新区,硕士,天使轮,医疗健康,120.358818,31.538042,全职,1-3年,"['""""']"
19,3964072,图像处理工程师,北京,2018-04-13 14:25:23,28.0,154010,NovuMind Inc.,北京异构智能科技有限公司,15-50人,海淀区,硕士,B轮,其他,116.297356,40.049092,全职,3-5年,"['带薪年假', '股票期权', '午餐补助', '绩效奖金']"
20,3965388,计算机视觉/图像处理工程师,北京,2018-04-26 15:03:08,28.0,303915,创智臻视,北京创智臻视科技有限公司,15-50人,海淀区,硕士,天使轮,"信息安全,数据服务",,,全职,不限,"['""""']"
21,3905236,图像处理工程师,福州,2018-04-08 16:57:48,17.0,76740,岂微,福州岂微网络科技有限公司,15-50人,鼓楼区,硕士,天使轮,"移动互联网,游戏",119.270634,26.074504,全职,1-3年,"['节日礼物', '岗位晋升', '扁平管理', '自由开放']"
22,2235144,全景图像处理工程师,北京,2018-04-28 09:26:37,29.0,113761,企鹅创新,企鹅创新（北京）科技有限公司,15-50人,,本科,天使轮,"硬件,移动互联网",116.4800105,39.99724951,全职,3-5年,[]
23,3895674,图像处理和OCR算法工程师,上海,2018-04-13 10:30:26,16.0,26376,灵兮科技,上海灵兮信息科技有限公司,15-50人,杨浦区,本科,A轮,"移动互联网,企业服务",,,全职,1-3年,"['节日礼物', '股票期权', '带薪年假', '年度旅游']"
24,4175779,软件工程师（图像处理）,深圳,2018-04-26 16:07:31,19.6,166781,智神信息技术,桂林智神信息技术有限公司,500-2000人,福田区,本科,未融资,"移动互联网,企业服务",114.027021,22.52845,全职,3-5年,[]
25,4417563,高级视觉导航与图像处理工程师,武汉,2018-04-24 15:35:48,17.8,224751,立得空间,北京立得空间信息技术有限公司,150-500人,东湖新技术开发区,本科,未融资,"移动互联网,数据服务",114.402633,30.442719,全职,1-3年,"['年底双薪', '股票期权', '专项奖金', '带薪年假']"
26,4477552,图像处理工程师,北京,2018-04-25 10:15:28,5.6,87908,天睿空间,北京天睿空间科技股份有限公司,50-150人,朝阳区,硕士,天使轮,数据服务,116.47372,40.01282,全职,应届毕业生,"['免费班车', '带薪年假', '绩效奖金', '定期体检']"
27,4053010,图像处理软件工程师,北京,2018-04-12 13:44:55,25.2,155166,北京博视智动,北京博视智动技术有限公司,15-50人,丰台区,本科,未融资,"信息安全,数据服务",116.387519,39.841112,全职,不限,"['绩效奖金', '交通补助', '通讯津贴', '午餐补助']"
28,4085957,图像处理工程师,深圳,2018-04-16 10:09:23,14.0,118968,智影医疗,深圳市智影医疗科技有限公司,15-50人,龙华新区,硕士,A轮,医疗健康,114.06515,22.6733,全职,1-3年,"['股票期权', '专项奖金', '带薪年假', '免费班车']"
29,4210933,图像处理工程师,北京,2018-04-08 09:31:42,21.0,313662,佳光科技,北京佳光科技有限公司,15-50人,海淀区,硕士,A轮,"硬件,其他",116.30899,39.981654,全职,1-3年,"['""""']"
30,2535112,图像处理软件工程师,北京,2018-04-12 13:44:56,17.8,155166,北京博视智动,北京博视智动技术有限公司,15-50人,丰台区,本科,未融资,"信息安全,数据服务",116.387814,39.841162,全职,1-3年,"['绩效奖金', '交通补助', '通讯津贴', '午餐补助']"
31,3969968,图像处理架构师,北京,2018-04-17 21:33:34,48.0,3328,好未来,北京世纪好未来教育科技有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,教育",116.314526,39.982338,全职,5-10年,"['上市公司', '领军企业', '五险一金', '住福计划']"
32,4332402,图像处理算法工程师,北京,2018-04-28 15:46:48,21.0,190413,云脑科技,杭州云脑科技有限公司,15-50人,朝阳区,硕士,A轮,"企业服务,数据服务",116.443108,39.92147,全职,3-5年,"['年底双薪', '股票期权', '扁平管理', '人工智能']"
33,4491423,计算机视觉/图像处理,南宁,2018-04-27 10:00:35,3.8,331379,策顺网络公司,广州策顺网络科技有限公司,50-150人,青秀区,不限,未融资,"电子商务,游戏",108.332286,22.814313,全职,应届毕业生,"['""""']"
34,4379533,算法工程师-图像处理方向,深圳,2018-04-08 10:33:50,19.0,347533,蒙迪爱尔,深圳市美迪服装有限公司,150-500人,龙岗区,硕士,未融资,其他,114.074914,22.644757,全职,3-5年,"['""""']"
35,3139783,图像处理/模式识别算法工程师,北京,2018-04-28 13:59:25,15.8,3334,七鑫易维,北京七鑫易维信息技术有限公司,50-150人,朝阳区,硕士,B轮,"移动互联网,硬件",0.0,0.0,全职,1-3年,"['技能培训', '年底双薪', '绩效奖金', '年度旅游']"
36,3480303,图像处理助理研发工程师,广州,2018-04-27 11:15:43,10.8,28393,爱云校,北京修齐治平科技有限公司,500-2000人,天河区,硕士,C轮,"教育,数据服务",113.356269,23.134926,全职,1年以下,"['技能培训', '节日礼物', '股票期权', '带薪年假']"
37,4141071,图像处理工程师,北京,2018-04-23 15:42:19,14.0,324240,上海融军,上海融军科技有限公司,15-50人,海淀区,硕士,不需要融资,"信息安全,数据服务",116.303276,40.035542,全职,1-3年,"['""""']"
38,4270333,图像处理,北京,2018-04-04 09:42:38,21.0,166721,BitBays,北京币贝科技有限公司,50-150人,海淀区,本科,不需要融资,"移动互联网,金融",116.326663,39.984118,全职,不限,"['弹性工作', '领导好', '扁平管理', '技能培训']"
39,2281722,图像处理算法工程师/专家,北京,2018-05-01 09:49:29,38.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.48762151,40.00609607,全职,3-5年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
40,3055701,图像处理开发工程师,合肥,2018-04-02 17:56:34,13.2,21980,科大讯飞,科大讯飞股份有限公司,2000人以上,高新区,本科,上市公司,"移动互联网,数据服务",117.14372,31.830538,全职,3-5年,"['绩效奖金', '股票期权', '专项奖金', '年底双薪']"
41,4334071,图像处理工程师/实习生,北京,2018-04-26 22:24:14,24.0,39934,每日优鲜,北京每日优鲜电子商务有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,电子商务",116.479363,39.986108,全职,3-5年,"['节日礼物', '岗位晋升', '管理规范', '五险一金']"
42,4186869,ZBBU-图像处理算法工程师,广州,2018-04-25 10:49:01,17.0,336,酷狗音乐,广州酷狗计算机科技有限公司,500-2000人,天河区,本科,不需要融资,"移动互联网,文化娱乐",112.993461,22.994261,全职,不限,"['技能培训', '节日礼物', '年底双薪', '带薪年假']"
43,3741785,图像处理OCV（智能）,武汉,2018-04-18 11:32:33,21.0,277312,微晟,微晟（武汉）技术有限公司,15-50人,洪山区,本科,不需要融资,"移动互联网,硬件",114.412546,30.500298,全职,5-10年,"['年底双薪', '年终分红', '交通补助', '领导好']"
44,3610185,图像处理算法工程师,北京,2018-04-27 10:57:53,28.0,129,陌陌,北京陌陌科技有限公司,500-2000人,朝阳区,本科,上市公司,社交网络,115.99339,39.99426,全职,1-3年,"['岗位晋升', '帅哥多', '管理规范', '技能培训']"
45,4005130,图像处理与识别研发工程师,北京,2018-04-28 10:04:25,21.0,3328,好未来,北京世纪好未来教育科技有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,教育",116.313701,39.978427,全职,1-3年,"['上市公司', '领军企业', '五险一金', '住福计划']"
46,2311307,图像处理工程师,北京,2018-04-27 10:58:18,14.0,23727,知网,同方知网（北京）技术有限公司,2000人以上,海淀区,硕士,上市公司,"移动互联网,电子商务",116.35717,40.04444006,全职,不限,"['美女多多', '带薪年假', '绩效奖金', '岗位晋升']"
47,3628116,计算机视觉/图像处理实习生,广州,2018-04-16 15:55:17,2.8,142381,派客朴食,广州市派客朴食信息科技有限责任公司,15-50人,海珠区,不限,不需要融资,"移动互联网,电子商务",113.369458,23.096879,实习,1年以下,[]
48,2629663,图像处理算法工程师/专家,北京,2018-05-01 09:49:29,35.0,50702,美团点评,北京三快在线科技有限公司,2000人以上,朝阳区,本科,D轮及以上,"移动互联网,O2O",116.48762151,40.00609607,全职,3-5年,"['技能培训', '绩效奖金', '岗位晋升', '领导好']"
49,4402136,图像处理算法专家,北京,2018-04-28 17:21:18,38.0,1880,快手,北京达佳互联信息技术有限公司,500-2000人,海淀区,本科,D轮及以上,移动互联网,116.316508,39.984066,全职,3-5年,"['股票期权', '弹性工作', '定期体检', '岗位晋升']"
50,4363083,图像处理工程师,杭州,2018-04-02 19:52:37,19.0,356945,展拓视觉,杭州展拓智能控制技术有限公司,15-50人,西湖区,本科,未融资,移动互联网,120.062846,30.32283,全职,不限,"['""""']"
51,4095161,OCR文字识别及图像处理工程师（广州）,广州,2018-04-26 13:50:33,33.0,25419,广发证券,广发证券股份有限公司,2000人以上,天河区,本科,上市公司,金融,113.342831,23.118145,全职,3-5年,"['绩效奖金', '岗位晋升', '领导好', '扁平管理']"
52,4049772,图像处理工程师,北京,2018-04-25 12:08:08,24.0,291761,环球农宝,北京环球农宝智能科技有限公司,15-50人,海淀区,本科,天使轮,"企业服务,硬件",0.0,0.0,全职,1-3年,[]
53,4443140,图像处理算法工程师,惠州,2018-04-18 15:41:45,14.0,221266,德赛西威,惠州市德赛西威汽车电子股份有限公司,2000人以上,惠城区,硕士,上市公司,"硬件,其他",114.346003,23.044989,全职,1-3年,"['带薪年假', '弹性工作', '年度旅游', '管理规范']"
54,3967484,图像处理软件开发总工程师,南京,2018-04-08 13:37:17,19.0,304868,衣谷科技,南京衣谷互联网科技有限公司,15-50人,鼓楼区,本科,未融资,"电子商务,硬件",118.770306,32.077795,全职,3-5年,"['专项奖金', '年终分红', '弹性工作', '领导好']"
55,377180,图像处理算法工程师,成都,2018-04-26 11:09:45,19.0,3524,Camera360,成都品果科技有限公司,150-500人,高新区,硕士,B轮,移动互联网,104.07010065,30.55062161,全职,不限,"['绩效奖金', '股票期权', '专项奖金', '年终奖']"
56,1951930,数字图像处理工程师,合肥,2018-04-22 00:39:40,5.6,133190,中科新萝,安徽中科新萝智慧城市信息科技有限公司,15-50人,高新区,本科,天使轮,移动互联网,117.20859513,31.86232621,全职,不限,[]
57,3487137,图像处理算法工程师,深圳,2018-04-28 10:57:53,28.0,107664,AKULAKU,岩心科技（深圳）有限公司,150-500人,南山区,本科,B轮,"移动互联网,金融",113.943847,22.529035,全职,1-3年,"['美女如云', '股票期权', '高速发展', '扁平管理']"
58,4296430,图像处理工程师/实习生,北京,2018-04-26 22:24:14,7.0,39934,每日优鲜,北京每日优鲜电子商务有限公司,500-2000人,朝阳区,本科,C轮,"移动互联网,电子商务",116.479363,39.986108,全职,应届毕业生,"['节日礼物', '岗位晋升', '管理规范', '五险一金']"
59,4178403,图像处理算法工程师,深圳,2018-04-28 11:12:57,28.0,242855,哈哈便利,武汉市哈哈便利科技有限公司,50-150人,南山区,本科,A轮,"硬件,移动互联网",113.936839,22.523913,全职,3-5年,"['股票期权', '年终分红', '专项奖金']"
60,4097546,图像处理工程师,北京,2018-04-24 10:27:30,19.0,53088,东舟,北京东舟技术股份有限公司,50-150人,海淀区,本科,不需要融资,"移动互联网,企业服务",116.305528,40.043229,全职,1-3年,"['绩效奖金', '岗位晋升', '年度旅游', '扁平管理']"
61,3203076,图像处理工程师,北京,2018-04-24 17:47:39,21.0,182153,丰源星际,北京丰源星际传媒科技有限公司,50-150人,西城区,本科,A轮,数据服务,116.353021,39.930662,全职,不限,[]
62,4380546,图像算法工程师（图像处理方向）,杭州,2018-04-25 15:05:35,28.0,229678,奇点云,杭州比智科技有限公司,50-150人,余杭区,本科,A轮,移动互联网、O2O,120.003852,30.291585,全职,不限,"['年底双薪', '股票期权', '专项奖金', '绩效奖金']"
63,3954360,图像处理算法研究员,上海,2018-04-20 11:05:36,34.0,1499,学霸君,上海谦问万答吧云计算科技有限公司,150-500人,杨浦区,硕士,C轮,"移动互联网,教育",121.51123519,31.30683942,全职,3-5年,"['帅哥多', '美女多', '股票期权', '年底双薪']"
64,3076874,深度学习，计算机视觉，机器学习，图像处理，,杭州,2018-04-08 14:29:58,35.0,196995,洽豪,杭州洽豪科技有限公司,50-150人,西湖区,硕士,不需要融资,移动互联网,120.123726,30.282507,全职,不限,"['年底双薪', '绩效奖金', '定期体检', '带薪年假']"
65,3381415,搜狐媒体-集团商业部-数字图像处理工程师,北京,2018-04-17 10:55:04,26.0,106303,搜狐集团,北京搜狐新媒体信息技术有限公司,2000人以上,海淀区,本科,上市公司,"移动互联网,广告营销",116.325403,39.983335,全职,3-5年,"['节日礼物', '项目奖金', '弹性工作时间', '15天年假']"
66,3150773,图像处理算法工程师,杭州,2018-04-25 14:48:16,28.0,128744,ULSee,杭州保新科技有限公司,15-50人,江干区,本科,A轮,"移动互联网,文化娱乐",120.216023,30.246219,全职,应届毕业生,"['国际化团队', '脚踏实地', '硅谷环境', '年度旅游']"
67,4140806,图像处理工程师,上海,2018-04-23 15:42:19,14.0,324240,上海融军,上海融军科技有限公司,15-50人,徐汇区,硕士,不需要融资,"信息安全,数据服务",121.395334,31.160489,全职,1-3年,"['""""']"
68,4243430,图像处理实习生,北京,2018-04-08 11:07:26,3.8,47766,爱康泰,北京爱康泰科技有限责任公司,15-50人,海淀区,本科,A轮,"移动互联网,医疗健康",116.335821,39.998487,实习,应届毕业生,"['节日礼物', '技能培训', '股票期权', '带薪年假']"
69,3740685,高级图像处理算法工程师,北京,2018-04-30 21:10:20,28.0,34200,健康有益,北京健康有益科技有限公司,50-150人,朝阳区,硕士,A轮,"移动互联网,医疗健康",116.481014,39.989813,全职,3-5年,"['技能培训', '年底双薪', '岗位晋升', '扁平管理']"
70,4096165,OCR及图像处理工程师(广州),广州,2018-04-26 13:50:34,33.0,25419,广发证券,广发证券股份有限公司,2000人以上,天河区,本科,上市公司,金融,113.342831,23.118145,全职,3-5年,"['绩效奖金', '岗位晋升', '领导好', '扁平管理']"
71,2945312,图像处理算法工程师,北京,2018-04-24 15:54:22,21.0,25120,中科虹霸,北京中科虹霸科技有限公司,50-150人,海淀区,硕士,C轮,移动互联网,116.33396,39.986955,全职,1-3年,"['年终分红', '绩效奖金', '专项奖金', '五险一金']"
72,3491751,深度学习/图像处理 算法工程师,北京,2018-04-24 14:35:58,42.0,139755,京东商城,北京京东世纪贸易有限公司,2000人以上,大兴区,硕士,上市公司,电子商务,116.562755,39.786489,全职,3-5年,"['免费班车', '子女教育计划', '安居计划', '救助基金']"
73,3567646,图像处理算法工程师,青岛,2018-04-10 14:17:11,14.0,124026,木子,青岛木子企业管理咨询有限公司,15-50人,崂山区,硕士,不需要融资,移动互联网,120.468956,36.107538,全职,1-3年,[]
